Código Antiguo ;Código Vigente;Código  Madre Antiguo;Código Madre Nuevo;Código Región;Nombre Región;Código Dependencia Jerárquica (SEREMI / Servicio de Salud);Nombre Dependencia Jerárquica (SEREMI / Servicio de Salud);Pertenencia al SNSS;Tipo Establecimiento (Unidad);Ámbito de Funcionamiento;Nombre Oficial;Certificación ;Dependencia Administrativa;Nivel de Atención;Código Comuna;Nombre Comuna;Vía;Número;Dirección;Teléfono;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia ;Clasificcion Tipo de SAPU;LATITUD      [Grados decimales];LONGITUD [Grados decimales];Tipo de Prestador Sistema de Salud;Estado de Funcionamiento;Nivel de Complejidad;Tipo de Atención ;
06-416;106416;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Las Cruces (El Tabo);No Aplica;Municipal;Primario;05605;El Tabo;Calle;174;Lincoln;442351350;38716;NO;No Aplica;No Aplica;-33,498897;-71,626369;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
13-753;113753;13-301;113301;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Reverendo Javier Peró;No Aplica;Municipal;Primario;13129;San Joaquín;Calle;145;Reverendo Javier Peró;225528116;38716;NO;No Aplica;No Aplica;-33,498147;-70,624107;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-296;111296;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Consultorio Escuela de formación policial de Carabineros de Chile;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;13102;Cerrillos;Calle;6655;Pedro Aguirre Cerda;229221415;39814;NO;No Aplica;No Aplica;-33,497702;-70,708225;Fuerzas Armadas y de Orden;Vigente en operación habitual;;Atención Abierta-Ambulatoria;
12-512;112512;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico San Joaquín Red de Salud UC CHRISTUS;No Aplica;Privado;Secundario;13118;Macul;Avenida;4686;Vicuña;225521765;39814;NO;No Aplica;No Aplica;-33,497116;-70,614619;Privado;Vigente en operación habitual;;Atención Abierta-Ambulatoria;
11-784;111784;11-378;111378;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Bueras;No Aplica;Municipal;Primario;13119;Maipú;Calle;456;Bueras ;225321459;38716;NO;No Aplica;No Aplica;-33,496471;-70,763053;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
13-913;200641;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Cima Salud;No Aplica;Privado;No Aplica;13130;San Miguel;Avenida;4564;Gran Avenida José Miguel Carrera;223989000;43805;NO;No Aplica;No Aplica;-33,495624;-70,652403;Privado;Vigente en operación habitual;;Atención Abierta-Ambulatoria;
12-989;200903;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Global Help;No Aplica;Privado;Primario;13118;Macul;Calle;3626;Dr. Amador Neghme;222930501;38716;NO;No Aplica;No Aplica;-33,494888;-70,591663;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-608;111608;11-010;111010;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Cerrillos;No Aplica;Municipal;Secundario;13102;Cerrillos;Calle;6161;19 de Septiembre;225384083;38716;NO;No Aplica;No Aplica;-33,493615;-70,708752;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
12-918;200324;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontológico Uno Salud Dental La Reina;No Aplica;Privado;No Aplica;13113;La Reina;Avenida;6938;Principe de Gales;6007071010;42151;NO;No Aplica;No Aplica;-33,438498;-70,560278;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
12-319;112319;;;13;Región Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Padre Alberto Hurtado;Centro de Salud Familiar;Municipal;Primario;13118;Macul;Calle;4345;Arturo Prat ;225739500;38716;NO;No Aplica;No Aplica;-33,493484;-70,615109;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
