Código Antiguo ;Código Vigente;Código  Madre Antiguo;Código Madre Nuevo;Código Región;Nombre Región;Código Dependencia Jerárquica (SEREMI / Servicio de Salud);Nombre Dependencia Jerárquica (SEREMI / Servicio de Salud);Pertenencia al SNSS;Tipo Establecimiento (Unidad);Ámbito de Funcionamiento;Nombre Oficial;Certificación ;Dependencia Administrativa;Nivel de Atención;Código Comuna;Nombre Comuna;Vía;Número;Dirección;Teléfono;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia ;Clasificcion Tipo de SAPU;LATITUD      [Grados decimales];LONGITUD [Grados decimales];Tipo de Prestador Sistema de Salud;Estado de Funcionamiento;Nivel de Complejidad;Tipo de Atención ;
03-944;200913;03-309;103309;2;Región De Antofagasta;3;Servicio de Salud Antofagasta;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR María Elena;No Aplica;Municipal;Primario;02302;Maria Elena;Calle;;Diego de Almagro;552265332;38716;SI;Urgencia Ambulatoria (SUR);No Aplica;-22,341088;-69,664249;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
03-406;103406;;;2;Región De Antofagasta;3;Servicio de Salud Antofagasta;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Caspana;No Aplica;Municipal;Primario;02201;Calama;Calle;;Sector de Caspana;;38716;NO;No Aplica;No Aplica;-22,335168;-68,21267;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
03-409;103409;;;2;Región De Antofagasta;3;Servicio de Salud Antofagasta;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Ayquina;No Aplica;Municipal;Primario;02201;Calama;Calle;321;San Roque;;38716;NO;No Aplica;No Aplica;-22,278561;-68,321623;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
03-216;103216;;;2;Región De Antofagasta;2;SEREMI De Antofagasta;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Mutual de Seguridad CChC Tocopilla;No Aplica;Privado;No Aplica;02301;Tocopilla;Calle;1201;21 de Mayo;552811140;39814;NO;No Aplica;No Aplica;-22,09601;-70,204641;Privado;Vigente en operación habitual;;Atención Abierta-Ambulatoria;
03-933;200033;;;2;Región De Antofagasta;2;SEREMI De Antofagasta;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico Asociación Chilena de Seguridad AChS Tocopilla;No Aplica;Privado;Secundario;02301;Tocopilla;Calle;1198;Arturo Prat;;39814;NO;No Aplica;No Aplica;-22,09567;-70,205449;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
03-102;103102;;;2;Región De Antofagasta;3;Servicio de Salud Antofagasta;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Dr. Marcos Macuada (Tocopilla);No Aplica;Servicio de Salud;Primario;02301;Tocopilla;Calle;;Santa Rosa;552654560;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-22,088382;-70,193236;Público ;Vigente en operación habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
03-411;103411;;;2;Región De Antofagasta;3;Servicio de Salud Antofagasta;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Quillagua (María Elena);No Aplica;Municipal;Primario;02302;Maria Elena;Calle;;El Loa;;38716;NO;No Aplica;No Aplica;-21,660611;-69,535038;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
03-407;103407;;;2;Región De Antofagasta;3;Servicio de Salud Antofagasta;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Ollagüe;No Aplica;Municipal;Primario;02202;Ollagüe;Calle;;Héroes de la Concepción;;38716;NO;No Aplica;No Aplica;-21,224889;-68,255628;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-413;102413;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural San Marcos;No Aplica;Municipal;Primario;01101;Iquique;Calle;;Localidad de San Marcos;;38716;NO;No Aplica;No Aplica;-21,115309;-70,124186;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-926;200908;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico Teck Quebrada Blanca;No Aplica;Privado;Secundario;01405;Pica;Calle;;Faena minera Teck quebrada blanca, campamento 1700;56 9 6207 9063            ;41758;NO;No Aplica;No Aplica;-21,005193;-68,804842;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-220;102220;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Coposa Cía. Minera Doña Inés de Collahuasi;No Aplica;Privado;No Aplica;01405;Pica;Calle;;Coposa Hostal Pabellón del Inca;572516621;39814;NO;No Aplica;No Aplica;-20,826793;-68,657633;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-412;102412;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Chanavayita;No Aplica;Municipal;Primario;01101;Iquique;Calle;;Aldea de Chanavayita;;38716;NO;No Aplica;No Aplica;-20,702317;-70,187369;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-917;200751;02-412;102412;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR Chanavayita;No Aplica;Municipal;Primario;01101;Iquique;Calle;;Aldea de Chanavayita;;38716;SI;Urgencia Ambulatoria (SUR);No Aplica;-20,702283;-70,187312;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-416;102416;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Matilla;No Aplica;Municipal;Primario;01405;Pica;Calle;;Matilla;;38716;NO;No Aplica;No Aplica;-20,513556;-69,360941;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-304;102304;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Juan Márquez Vismarra;Centro de Salud Familiar;Municipal;Primario;01405;Pica;Calle;;Balmaceda;572741306;38716;NO;No Aplica;No Aplica;-20,491946;-69,330165;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-921;200755;02-304;102304;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR Pica;No Aplica;Municipal;Primario;01405;Pica;Calle;;Balmaceda;;38716;SI;Urgencia Ambulatoria (SUR);No Aplica;-20,490293;-69,32727;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-414;102414;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural La Huayca;No Aplica;Municipal;Primario;01401;Pozo Almonte;Calle;;Sector La Huayca;;38716;NO;No Aplica;No Aplica;-20,43104;-69,560477;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-406;102406;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural La Tirana;No Aplica;Municipal;Primario;01401;Pozo Almonte;Calle;;General Ibáñez;;38716;NO;No Aplica;No Aplica;-20,334401;-69,659814;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-907;200417;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;Centro de Diálisis Alto Hospicio;No Aplica;Privado;No Aplica;01107;Alto Hospicio;Calle;3125;Inglaterra, Sector La Pampa;572324823;42018;NO;No Aplica;No Aplica;-20,289219;-70,10231;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-307;102307;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Héctor Reyno Gutiérrez;Centro de Salud Familiar;Municipal;Primario;01107;Alto Hospicio;Calle;3080;Naciones Unidas;;38716;NO;No Aplica;No Aplica;-20,287114;-70,10386;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-912;200557;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Yandry Añazco Montero;Centro de Salud Familiar;Municipal;Primario;01107;Alto Hospicio;Calle;4320;Los Lagos;572584401;43460;NO;No Aplica;No Aplica;-20,277805;-70,084017;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-602;102602;02-010;102010;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Enrique París;No Aplica;Servicio de Salud;Secundario;01107;Alto Hospicio;Calle;;Santa Rosa;573079321;38716;NO;No Aplica;No Aplica;-20,2752;-70,098225;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-928;201036;02-905;200335;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR La Tortuga;No Aplica;Municipal;Primario;01107;Alto Hospicio;Calle;3355;Santa Rosa;;44265;SI;Urgencia ambulatoria (SAR);No Aplica;-20,272626;-70,105171;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-905;200335;02-305;102305;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar La Tortuga;No Aplica;Municipal;Primario;01107;Alto Hospicio;Calle;3355;Santa Rosa;;42838;NO;No Aplica;No Aplica;-20,27262;-70,105597;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-305;102305;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Pedro Pulgar Melgarejo;Centro de Salud Familiar;Municipal;Primario;01107;Alto Hospicio;Calle;;Los Álamos;800500108;38716;NO;No Aplica;No Aplica;-20,265007;-70,10063;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
201100;201100;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;"Centro de Atención en Salud ""Nursing Care""";No Aplica;Privado;Secundario;01101;Iquique;Avenida;3717;Francisco Bilbao (Oficina 11);9 8418 4009;44370;NO;No Aplica;No Aplica;-20,263612;-70,12843;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-303;102303;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Pozo Almonte;Centro de Salud Familiar;Municipal;Primario;01401;Pozo Almonte;Calle;276;Balmaceda;572761214;38716;NO;No Aplica;No Aplica;-20,25836;-69,785379;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
201066;201066;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;"LABORATORIO CLINICO ""BIOANALYSIS""";No Aplica;Privado;No Aplica;01101;Iquique;Calle;3432; Salvador Allende ;56 9 83887253  ;44138;NO;No Aplica;No Aplica;-20,255343;-70,130893;Privado;Vigente en operación habitual;No Aplica;No Aplica;
02-902;200191;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico de Atención Primaria del Centro de Detención Preventiva de Pozo Almonte;No Aplica;Privado;Secundario;01401;Pozo Almonte;Calle;624;Libertad;572751228;40837;NO;No Aplica;No Aplica;-20,252962;-69,786549;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-236;102236;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Playa Brava;No Aplica;Privado;No Aplica;01101;Iquique;Calle;3327;José Francisco Vergara;572393544;39814;NO;No Aplica;No Aplica;-20,252749;-70,133624;Privado;Vigente en operación habitual;No Aplica;No Aplica;
02-913;200576;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;Centro de Diálisis Alto Medicen;No Aplica;Privado;No Aplica;01107;Alto Hospicio;Calle;2251;El Pilón, sitio B;572267000;42692;NO;No Aplica;No Aplica;-20,251687;-70,109569;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-601;102601;02-010;102010;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Salvador Allende;No Aplica;Servicio de Salud;Secundario;01101;Iquique;Calle;;Céspedes;;38716;NO;No Aplica;No Aplica;-20,25082;-70,129707;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-806;102806;02-306;102306;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR Sur de Iquique;No Aplica;Municipal;Primario;01101;Iquique;Calle;;Playa El Águila;572536836;38716;SI;Urgencia ambulatoria (SAR);No Aplica;-20,250364;-70,128086;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-306;102306;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Sur de Iquique;Centro de Salud Familiar;Municipal;Primario;01101;Iquique;Calle;;Playa El Águila;800500109;38716;NO;No Aplica;No Aplica;-20,25017;-70,128085;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-240;102240;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;Centro de Diálisis la Tirana;No Aplica;Privado;No Aplica;01101;Iquique;Avenida;3095;La Tirana;572447964;39814;NO;No Aplica;No Aplica;-20,246322;-70,128497;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-705;102705;02-305;102305;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar El Boro;No Aplica;Municipal;Primario;01107;Alto Hospicio;Calle;;Calle 4;572406750;38716;NO;No Aplica;No Aplica;-20,246173;-70,096622;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-807;102807;02-305;102305;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU El Boro;No Aplica;Municipal;Primario;01107;Alto Hospicio;Calle;2765;Salitrera Domeyko;562581636;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-20,246059;-70,096632;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-227;102227;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Universidad Arturo Prat;No Aplica;Privado;Secundario;01101;Iquique;Avenida;2120;Arturo Prat;572394745;39814;NO;No Aplica;No Aplica;-20,244035;-70,140576;Privado;Vigente en operación habitual;;Atención Abierta-Ambulatoria;
02-916;200722;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud ;Estadio Tierra de Campeones;No Aplica;Servicio de Salud;No Aplica;01101;Iquique;Avenida;2903;Salvador Allende Gossens;;38716;NO;No Aplica;No Aplica;-20,24181;-70,134418;Público ;Vigente en operación transitoria;;Atención Cerrada-Hospitalaria;
02-221;102221;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Establecimiento Penitenciario Alto Hospicio;No Aplica;Gendamería;No Aplica;01107;Alto Hospicio;Calle;;Ruta A16 Km. 6;572512602;39814;NO;No Aplica;No Aplica;-20,240813;-70,054424;Fuerzas Armadas y de Orden;Vigente en operación habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
02-234;102234;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;Centro de Diálisis Corporación Paúl Harris;No Aplica;Privado;No Aplica;01101;Iquique;Calle;2110;Armada de Chile;572431880;39814;NO;No Aplica;No Aplica;-20,239331;-70,138145;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-232;102232;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;Centro de Diálisis Medicen;No Aplica;Privado;No Aplica;01101;Iquique;Avenida;1934;Tadeo Haenke;572322175;39814;NO;No Aplica;No Aplica;-20,239038;-70,141015;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-906;200372;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Médico Bioclinic Ltda.;No Aplica;Privado;No Aplica;01101;Iquique;Calle;2889;Juan Antonio Ríos;572277483 ;42935;NO;No Aplica;No Aplica;-20,237871;-70,149721;Privado;Vigente en operación habitual;No Aplica;No Aplica;
02-302;102302;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Cirujano Guzmán;Centro de Salud Familiar;Municipal;Primario;01101;Iquique;Avenida;2763;Pedro Prado;800500106;38716;NO;No Aplica;No Aplica;-20,236861;-70,136439;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-802;102802;02-302;102302;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Cirujano Guzmán;No Aplica;Municipal;Primario;01101;Iquique;Avenida;2736;Pedro Prado;572573574;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-20,236832;-70,136531;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-218;102218;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico FACH de Iquique;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;01101;Iquique;Calle;1605;Diego Portales;572792500 ;39814;NO;No Aplica;No Aplica;-20,230142;-70,142908;Fuerzas Armadas y de Orden;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-209;102209;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Clínico Militar Iquique;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;01101;Iquique;Calle;1041;Diego Portales;572518182;39814;NO;No Aplica;No Aplica;-20,229515;-70,145039;Fuerzas Armadas y de Orden;Vigente en operación habitual;;Atención Abierta-Ambulatoria;
02-300;102300;;;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Cirujano Aguirre;Centro de Salud Familiar;Municipal;Primario;01101;Iquique;Pasaje;;3 Pintados;800500105;38716;NO;No Aplica;No Aplica;-20,226259;-70,134664;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-800;102800;02-300;102300;1;Región De Tarapacá;2;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Cirujano Aguirre;No Aplica;Municipal;Primario;01101;Iquique;Pasaje;;Chintaguay;572573568;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-20,226257;-70,134701;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-929;201039;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio Inmuno Vida Spa;No Aplica;Privado;Primario;01101;Iquique;Calle;1701;Barros Arana;56 966475246;44210;NO;No Aplica;No Aplica;-20,224602;-70,134139;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-903;200238;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico de Nueva Clínica Tarapacá;No Aplica;Privado;No Aplica;01101;Iquique;Calle;1550;Barros Arana;572421566;33729;NO;No Aplica;No Aplica;-20,223013;-70,147598;Privado;Vigente en operación habitual;No Aplica;No Aplica;
02-904;200239;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Rehabilitación;Establecimiento de Salud;Instituto Teletón Iquique;No Aplica;Privado;No Aplica;01101;Iquique;Calle;999;José Joaquín Pérez;572588888;41660;NO;No Aplica;No Aplica;-20,222861;-70,146104;Privado;Vigente en operación habitual;Pendiente;Pendiente;
02-223;102223;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico del Trabajador AChS Iquique;No Aplica;Privado;Secundario;01101;Iquique;Calle;1517;Amunategui;572402914;39814;NO;No Aplica;No Aplica;-20,222856;-70,147043;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
02-201;102201;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Tarapacá;No Aplica;Privado;Terciario;01101;Iquique;Calle;1550;Barros Arana;572397000;39814;SI;Urgencia Hospitalaria (UEH);No Aplica;-20,222771;-70,147578;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
02-233;102233;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;Centro de Diálisis Iquique;No Aplica;Privado;No Aplica;01101;Iquique;Calle;1677;Orella;572422242;39814;NO;No Aplica;No Aplica;-20,221153;-70,139852;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-216;102216;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Mutual CChC Iquique;No Aplica;Privado;Secundario;01101;Iquique;Calle;769;Orella;572422735;39814;NO;No Aplica;No Aplica;-20,220655;-70,148458;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-242;102242;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Arauco Ltda.;No Aplica;Privado;No Aplica;01101;Iquique;Calle;1246;Ramírez;572415240;39814;NO;No Aplica;No Aplica;-20,220018;-70,150272;Privado;Vigente en operación habitual;No Aplica;No Aplica;
02-229;102229;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Automatizado Elmo;No Aplica;Privado;No Aplica;01101;Iquique;Calle;1229;Vivar;572412599;39814;NO;No Aplica;No Aplica;-20,219684;-70,149097;Privado;Vigente en operación habitual;No Aplica;No Aplica;
02-213;102213;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico y Dental MegaSalud Iquique;No Aplica;Privado;No Aplica;01101;Iquique;Calle;1162;Ramírez;572510540;39814;NO;No Aplica;No Aplica;-20,219036;-70,149374;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
02-200;102200;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Iquique;No Aplica;Privado;Terciario;01101;Iquique;Calle;103;Bernardo O'Higgins;572393200;39814;SI;Urgencia Hospitalaria (UEH);No Aplica;-20,2183;-70,15497;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
02-224;102224;;;1;Región De Tarapacá;1;SEREMI De Tarapacá;No perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio Sonrisa Infantil;No Aplica;Privado;Primario;01101;Iquique;Calle;1011;Aníbal Pinto;572420708;39814;NO;No Aplica;No Aplica;-20,217454;-70,153063;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
